                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3807,                0.84044,                 1.2553,                  0.701,                0.66697,                0.74915,                 0.4365,                 1.3742,                 0.7843,                 1.3049,               0.008845,               0.008845,               0.008845
                     37,                 1.3399,                0.81155,                 1.2497,                0.72341,                0.75945,                0.75672,                0.44537,                 1.2765,                0.73348,                 1.2686,               0.008812,               0.008812,               0.008812
                     38,                  1.326,                 0.8036,                 1.2275,                0.63435,                0.65617,                0.68859,                0.39583,                 1.3431,                0.92941,                 1.2953,               0.008779,               0.008779,               0.008779
                     39,                 1.3442,                 0.7902,                 1.2399,                 0.7809,                0.75865,                0.77805,                0.48892,                 1.2465,                0.71718,                 1.2328,               0.008746,               0.008746,               0.008746
                     40,                 1.3155,                0.77725,                 1.2218,                0.91128,                0.64036,                0.74094,                 0.4493,                 1.3178,                0.71317,                 1.2811,               0.008713,               0.008713,               0.008713
                     41,                 1.3113,                0.77866,                 1.2201,                0.73989,                0.80995,                0.80899,                  0.489,                 1.3077,                0.71051,                 1.2614,                0.00868,                0.00868,                0.00868
                     42,                 1.3037,                0.75679,                 1.1969,                 0.8454,                0.73738,                 0.8413,                0.47527,                 1.3426,                0.74769,                 1.2784,               0.008647,               0.008647,               0.008647
                     43,                 1.2772,                0.75209,                 1.2128,                0.75346,                0.87767,                 0.8152,                0.51131,                 1.2473,                0.71902,                 1.2278,               0.008614,               0.008614,               0.008614
                     44,                 1.2868,                0.75963,                 1.1921,                0.83727,                0.69246,                0.77052,                0.48482,                 1.2815,                0.68474,                 1.2536,               0.008581,               0.008581,               0.008581
                     45,                 1.2816,                 0.7529,                 1.2151,                0.84023,                0.84751,                0.85208,                0.52998,                 1.2399,                 0.6525,                 1.2231,               0.008548,               0.008548,               0.008548
                     46,                 1.2888,                0.75332,                 1.2024,                0.74606,                0.78259,                0.80128,                0.49248,                 1.2536,                0.66205,                 1.2396,               0.008515,               0.008515,               0.008515
                     47,                 1.2533,                0.70979,                 1.1742,                0.84115,                0.74601,                0.80339,                0.49583,                 1.2827,                0.69234,                 1.2549,               0.008482,               0.008482,               0.008482
                     48,                 1.2988,                0.74393,                  1.226,                0.85929,                0.83549,                0.85396,                0.51588,                 1.2664,                0.68146,                 1.2436,               0.008449,               0.008449,               0.008449
                     49,                 1.2548,                0.73078,                 1.1942,                0.79794,                0.82265,                0.86603,                0.50707,                 1.2719,                0.69285,                 1.2491,               0.008416,               0.008416,               0.008416
                     50,                 1.2435,                0.71756,                 1.1775,                0.74153,                0.78983,                0.81233,                0.50778,                 1.2401,                0.66271,                 1.2382,               0.008383,               0.008383,               0.008383
                     51,                 1.2527,                0.72477,                 1.1857,                0.77891,                0.77723,                0.81081,                0.50392,                 1.2337,                0.69944,                 1.2193,                0.00835,                0.00835,                0.00835
