                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3868,                 0.8441,                 1.2614,                0.65112,                 0.7734,                0.78723,                0.44455,                 1.2796,                0.74683,                 1.2566,               0.008845,               0.008845,               0.008845
                     37,                 1.3521,                0.81889,                 1.2562,                0.70354,                0.78639,                0.79984,                0.48684,                 1.2715,                0.71975,                 1.2486,               0.008812,               0.008812,               0.008812
                     38,                 1.3394,                0.80982,                 1.2398,                0.78447,                0.70465,                0.81708,                0.47728,                 1.2731,                0.70208,                 1.2542,               0.008779,               0.008779,               0.008779
                     39,                 1.3427,                0.80101,                  1.244,                0.69561,                0.79338,                0.80821,                0.47799,                 1.2436,                0.71985,                 1.2301,               0.008746,               0.008746,               0.008746
                     40,                 1.3241,                0.78528,                 1.2299,                0.68322,                0.70734,                0.73889,                0.44093,                 1.3028,                0.70314,                 1.2631,               0.008713,               0.008713,               0.008713
                     41,                 1.3126,                0.79472,                 1.2249,                 0.5949,                0.78021,                0.77695,                0.45904,                 1.3475,                0.73157,                 1.2703,                0.00868,                0.00868,                0.00868
                     42,                 1.3124,                0.76653,                 1.2026,                0.73894,                0.78367,                0.85231,                 0.5126,                 1.2974,                0.77081,                 1.2587,               0.008647,               0.008647,               0.008647
                     43,                 1.2951,                0.76684,                 1.2221,                0.77734,                0.79326,                0.79988,                0.48685,                 1.2344,                 0.7024,                 1.2359,               0.008614,               0.008614,               0.008614
                     44,                 1.2844,                0.76872,                 1.1905,                0.70841,                0.82447,                0.82045,                0.48497,                 1.2676,                0.67263,                 1.2442,               0.008581,               0.008581,               0.008581
                     45,                 1.3004,                0.75844,                 1.2249,                0.83397,                0.77515,                0.83457,                0.47336,                 1.2434,                0.64724,                 1.2305,               0.008548,               0.008548,               0.008548
                     46,                 1.3126,                0.76704,                 1.2156,                 0.7659,                0.88622,                0.85059,                0.48831,                 1.2644,                0.71352,                 1.2399,               0.008515,               0.008515,               0.008515
                     47,                 1.2602,                0.72189,                 1.1819,                0.74166,                0.75798,                0.81697,                0.49607,                 1.2372,                0.67458,                 1.2232,               0.008482,               0.008482,               0.008482
                     48,                 1.3081,                0.75552,                 1.2286,                 0.7287,                0.76984,                0.80678,                0.48943,                 1.2628,                0.64666,                 1.2477,               0.008449,               0.008449,               0.008449
                     49,                 1.2662,                0.73984,                 1.2041,                0.64418,                0.79902,                0.81942,                0.49278,                 1.2728,                0.68408,                 1.2386,               0.008416,               0.008416,               0.008416
                     50,                 1.2556,                0.72366,                  1.186,                0.71309,                0.81934,                0.85805,                0.52093,                 1.2397,                  0.675,                 1.2316,               0.008383,               0.008383,               0.008383
                     51,                 1.2594,                0.73226,                 1.1918,                0.76248,                0.73802,                0.84016,                0.50393,                 1.2439,                0.68639,                 1.2187,                0.00835,                0.00835,                0.00835
                     52,                 1.2344,                0.70932,                 1.1634,                0.76414,                0.71436,                0.82285,                0.51133,                 1.2135,                0.63152,                 1.2102,               0.008317,               0.008317,               0.008317
                     53,                 1.2499,                0.71522,                 1.1896,                0.72394,                0.85286,                0.89066,                 0.5112,                 1.2303,                0.65835,                 1.2183,               0.008284,               0.008284,               0.008284
                     54,                 1.2919,                0.73056,                 1.2024,                0.70156,                0.74594,                0.76919,                0.47452,                 1.2631,                0.67019,                 1.2459,               0.008251,               0.008251,               0.008251
                     55,                 1.2547,                0.71868,                 1.1728,                0.87473,                0.76884,                0.87699,                0.53637,                 1.2113,                0.65168,                 1.2092,               0.008218,               0.008218,               0.008218
