                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3728,                0.83692,                 1.2542,                0.70217,                0.71434,                0.72271,                0.42366,                 1.2903,                 0.7518,                 1.2661,               0.008845,               0.008845,               0.008845
                     37,                 1.3333,                0.81093,                 1.2459,                0.87667,                0.50463,                0.64815,                0.38827,                  1.285,                0.78377,                 1.2653,               0.008812,               0.008812,               0.008812
                     38,                 1.3174,                0.79818,                 1.2279,                0.94227,                0.63074,                0.74225,                0.44995,                 1.2827,                0.73932,                 1.2506,               0.008779,               0.008779,               0.008779
                     39,                 1.3152,                0.78429,                 1.2281,                0.91517,                0.66209,                0.77403,                0.46579,                 1.2729,                0.70787,                 1.2603,               0.008746,               0.008746,               0.008746
                     40,                 1.3058,                 0.7793,                 1.2175,                 0.6499,                0.76769,                0.77485,                0.43269,                 1.3447,                0.74871,                 1.3082,               0.008713,               0.008713,               0.008713
                     41,                 1.3082,                0.77919,                 1.2174,                0.84419,                0.69956,                0.77734,                0.44869,                 1.3133,                0.73814,                 1.2637,                0.00868,                0.00868,                0.00868
                     42,                 1.2829,                0.75486,                 1.1885,                0.76896,                0.70177,                 0.7436,                0.39884,                  1.545,                0.89818,                 1.4101,               0.008647,               0.008647,               0.008647
                     43,                 1.2627,                0.74229,                 1.2046,                0.91391,                0.80711,                0.87649,                0.51529,                 1.2707,                0.69229,                 1.2545,               0.008614,               0.008614,               0.008614
                     44,                 1.2807,                0.76249,                 1.1878,                0.83551,                0.67637,                0.79018,                0.47675,                 1.2593,                0.67778,                 1.2514,               0.008581,               0.008581,               0.008581
                     45,                  1.275,                0.75419,                 1.2087,                0.87268,                0.74997,                 0.8609,                0.49476,                 1.3054,                0.72574,                 1.2836,               0.008548,               0.008548,               0.008548
                     46,                 1.2909,                 0.7648,                 1.2025,                0.70991,                0.77507,                 0.7894,                0.47478,                 1.2628,                0.68483,                 1.2374,               0.008515,               0.008515,               0.008515
                     47,                 1.2443,                0.70874,                 1.1724,                0.68785,                0.79073,                0.78368,                0.49426,                 1.2486,                0.67411,                 1.2311,               0.008482,               0.008482,               0.008482
                     48,                 1.2882,                0.74445,                 1.2206,                0.87696,                0.69755,                0.81047,                0.50996,                 1.2633,                0.65266,                 1.2454,               0.008449,               0.008449,               0.008449
                     49,                 1.2459,                0.72803,                 1.1906,                0.75478,                0.85986,                  0.909,                0.52537,                 1.2664,                0.69238,                 1.2388,               0.008416,               0.008416,               0.008416
                     50,                 1.2404,                0.71234,                  1.179,                0.82313,                0.79065,                0.81716,                0.49105,                 1.2549,                0.67459,                 1.2405,               0.008383,               0.008383,               0.008383
                     51,                 1.2366,                0.71757,                 1.1772,                0.78835,                 0.7007,                0.76415,                0.45892,                 1.2872,                0.72482,                 1.2706,                0.00835,                0.00835,                0.00835
                     52,                 1.2067,                0.70443,                  1.152,                0.95589,                0.73939,                 0.8862,                0.52599,                 1.2748,                0.63684,                 1.2425,               0.008317,               0.008317,               0.008317
                     53,                 1.2315,                0.70497,                 1.1762,                0.74158,                  0.789,                 0.8637,                0.52745,                 1.2461,                0.66567,                 1.2412,               0.008284,               0.008284,               0.008284
                     54,                 1.2625,                0.71616,                 1.1865,                 0.6706,                0.76138,                0.77742,                0.47439,                 1.2711,                0.68338,                 1.2542,               0.008251,               0.008251,               0.008251
                     55,                 1.2441,                0.71008,                 1.1641,                0.86008,                0.77794,                0.82402,                0.52984,                 1.2093,                0.65384,                  1.207,               0.008218,               0.008218,               0.008218
                     56,                 1.2253,                0.68519,                 1.1394,                0.80119,                0.85264,                0.87973,                0.53654,                 1.2536,                0.64115,                 1.2327,               0.008185,               0.008185,               0.008185
                     57,                 1.2033,                0.68266,                 1.1653,                0.74756,                0.78595,                0.80824,                0.49039,                 1.2855,                0.66961,                 1.2652,               0.008152,               0.008152,               0.008152
                     58,                 1.2312,                0.69199,                 1.1626,                0.76327,                0.84853,                 0.8223,                0.51423,                 1.2175,                0.63615,                 1.2157,               0.008119,               0.008119,               0.008119
                     59,                 1.2164,                0.68402,                 1.1539,                0.89855,                0.80878,                0.89082,                0.54366,                 1.2195,                0.60507,                  1.224,               0.008086,               0.008086,               0.008086
                     60,                  1.215,                0.67359,                 1.1563,                0.92895,                 0.7643,                0.82145,                0.50633,                 1.2055,                0.62144,                 1.2089,               0.008053,               0.008053,               0.008053
                     61,                 1.2192,                0.68462,                 1.1648,                0.84775,                0.78307,                0.88206,                0.52264,                 1.2635,                0.66649,                  1.231,                0.00802,                0.00802,                0.00802
                     62,                 1.1953,                0.67046,                 1.1512,                 0.8299,                0.84831,                0.84894,                0.52774,                 1.2074,                0.63608,                 1.2066,               0.007987,               0.007987,               0.007987
                     63,                 1.1783,                0.66657,                 1.1408,                0.80179,                0.86309,                0.87875,                0.55775,                 1.1829,                0.65823,                 1.1914,               0.007954,               0.007954,               0.007954
                     64,                 1.1656,                0.65449,                 1.1266,                0.86008,                0.87369,                0.91934,                0.57259,                 1.2108,                0.59753,                 1.2139,               0.007921,               0.007921,               0.007921
                     65,                 1.1779,                0.65529,                 1.1339,                0.87444,                0.82211,                0.87639,                0.54881,                 1.2001,                0.63181,                 1.2042,               0.007888,               0.007888,               0.007888
                     66,                 1.1736,                0.63714,                 1.1126,                0.77211,                0.88782,                0.88228,                0.53361,                 1.2084,                 0.5915,                 1.2063,               0.007855,               0.007855,               0.007855
                     67,                  1.183,                0.66018,                 1.1491,                0.88266,                0.82726,                0.87559,                0.54116,                 1.2215,                0.61908,                 1.2123,               0.007822,               0.007822,               0.007822
                     68,                  1.159,                0.65453,                 1.1498,                0.82636,                0.80734,                0.87819,                0.53294,                  1.224,                0.62151,                 1.2147,               0.007789,               0.007789,               0.007789
                     69,                 1.1691,                0.64768,                 1.1289,                0.82568,                0.84013,                0.85598,                 0.5306,                 1.2251,                 0.6153,                  1.206,               0.007756,               0.007756,               0.007756
                     70,                 1.1595,                 0.6412,                 1.1317,                0.88436,                0.76957,                0.86977,                0.51274,                  1.232,                0.62658,                 1.2235,               0.007723,               0.007723,               0.007723
                     71,                 1.1555,                0.63344,                 1.1326,                0.86493,                0.86157,                0.88186,                0.55704,                 1.2135,                0.61171,                 1.2059,                0.00769,                0.00769,                0.00769
